Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-06-25,2019,6,25,Tuesday,25,2019-25,52.0,52.099998474121094,51.63999938964844,51.7599983215332,11519900,43.68046569824219,-0.0030815864262887516,43.23243631635393,41.4062287902832
2019-06-26,2019,6,26,Wednesday,25,2019-25,51.52000045776367,51.63999938964844,51.09000015258789,51.119998931884766,12405100,43.140357971191406,-0.012364971811015257,43.23955699375698,41.481910934448244
2019-06-27,2019,6,27,Thursday,25,2019-25,51.290000915527344,51.400001525878906,50.970001220703125,51.08000183105469,12374900,43.10661315917969,-0.0007822098285381607,43.238884517124724,41.55775550842285
2019-06-28,2019,6,28,Friday,25,2019-25,51.27000045776367,51.400001525878906,50.52000045776367,50.91999816894531,16339900,42.971580505371094,-0.003132527561605425,43.235146931239534,41.6253727722168
2019-07-01,2019,7,1,Monday,26,2019-26,51.06999969482422,51.630001068115234,50.779998779296875,51.599998474121094,14976400,43.54542541503906,0.013354056400048941,43.275387627737864,41.70111755371094
2019-07-02,2019,7,2,Tuesday,26,2019-26,51.779998779296875,52.04999923706055,51.54999923706055,51.97999954223633,8569200,43.866119384765625,0.007364584607222779,43.319993427821565,41.784615936279295
2019-07-03,2019,7,3,Wednesday,26,2019-26,52.0,52.33000183105469,52.0,52.099998474121094,7253700,43.96738052368164,0.002308413425582856,43.378462655203684,41.85657417297363
2019-07-05,2019,7,5,Friday,26,2019-26,51.88999938964844,52.119998931884766,51.47999954223633,52.11000061035156,8916300,43.975826263427734,0.00019209103761697044,43.42668533325195,41.932553176879885
2019-07-08,2019,7,8,Monday,27,2019-27,52.20000076293945,52.33000183105469,51.88999938964844,52.0,9495100,43.882999420166016,-0.0021108606966395715,43.49480084010533,42.00902030944824
2019-07-09,2019,7,9,Tuesday,27,2019-27,51.720001220703125,51.970001220703125,51.43000030517578,51.59000015258789,10584900,43.53700637817383,-0.007884443783785389,43.55206625802176,42.07153381347656
2019-07-10,2019,7,10,Wednesday,27,2019-27,51.79999923706055,51.970001220703125,51.65999984741211,51.81999969482422,7620900,43.73109436035156,0.004458000177867794,43.59426171439035,42.13524948120117
2019-07-11,2019,7,11,Thursday,27,2019-27,51.9900016784668,52.060001373291016,51.65999984741211,52.040000915527344,10376500,43.9167594909668,0.004245609064463807,43.6171681540353,42.19196022033692
2019-07-12,2019,7,12,Friday,27,2019-27,52.25,52.290000915527344,51.90999984741211,52.119998931884766,7347400,43.9842643737793,0.0015371098322130017,43.65152713230678,42.25789222717285
2019-07-15,2019,7,15,Monday,28,2019-28,52.279998779296875,52.290000915527344,51.869998931884766,52.130001068115234,5876100,43.99271011352539,0.00019201730133122652,43.66418593270438,42.32734275817871
2019-07-16,2019,7,16,Tuesday,28,2019-28,51.959999084472656,52.470001220703125,51.810001373291016,52.13999938964844,7132500,44.00114440917969,0.00019172030167124987,43.687091554914204,42.39143524169922
2019-07-17,2019,7,17,Wednesday,28,2019-28,52.220001220703125,52.2599983215332,52.0099983215332,52.18000030517578,8264200,44.03490447998047,0.0007672543806322984,43.75098773411342,42.4603897857666
2019-07-18,2019,7,18,Thursday,28,2019-28,52.040000915527344,52.16999816894531,51.66999816894531,52.029998779296875,11911800,43.90831756591797,-0.002874694871202732,43.80825233459473,42.53468368530273
2019-07-19,2019,7,19,Friday,28,2019-28,52.13999938964844,52.150001525878906,51.369998931884766,51.38999938964844,10355500,43.368221282958984,-0.012300546067340323,43.83658381870815,42.60068786621094
2019-07-22,2019,7,22,Monday,29,2019-29,51.52000045776367,51.52000045776367,51.130001068115234,51.220001220703125,12090700,43.224754333496094,-0.0033081123739622242,43.81367874145508,42.67135894775391
2019-07-23,2019,7,23,Tuesday,29,2019-29,53.25,54.63999938964844,52.7599983215332,54.33000183105469,33417900,45.849308013916016,0.06071876453410119,43.955335072108674,42.78129089355469
2019-07-24,2019,7,24,Wednesday,29,2019-29,54.119998931884766,54.81999969482422,53.619998931884766,53.779998779296875,15633400,45.38514709472656,-0.010123618856986316,44.0566041128976,42.88428413391113
2019-07-25,2019,7,25,Thursday,29,2019-29,53.630001068115234,53.79999923706055,52.720001220703125,53.06999969482422,19135000,44.785972595214844,-0.01320199531933075,44.11447170802525,42.96457572937012
2019-07-26,2019,7,26,Friday,29,2019-29,53.34000015258789,54.310001373291016,53.189998626708984,54.16999816894531,11451900,45.714271545410156,0.020727448716710395,44.2452768598284,43.055226974487304
2019-07-29,2019,7,29,Monday,30,2019-30,54.16999816894531,54.29999923706055,53.900001525878906,53.9900016784668,12283900,45.5623664855957,-0.0033229242133621106,44.38994543892996,43.136141052246096
